School Name,Nickname,Mascot,Conference
"Indiana","Indiana","Hoosiers","Big Ten Conference"
"Indiana State","Indiana State","Sycamores","Missouri Valley Conference"
"Iona","Iona","Gaels","Metro Atlantic Athletic Conference"
"Iowa","Iowa","Hawkeyes","Big Ten Conference"
"IUPUI","IUPUI","Jaguars","Horizon League"
"Jackson State","Jackson State","Tigers","Southwestern Athletic Conference"
"Jacksonville","JU","Dolphins","ASUN Conference"
"Jacksonville State","Jacksonville State","Gamecocks","ASUN Conference"
"Jacksonville State University","Jax State","Gamecocks","Conference USA"
"James Madison","JMU","Dukes","Sun Belt Conference"
"Kansas City","Kansas City","Roos","Summit League"
"Kansas State University","Kansas St","Wildcats","Big 12 Conference"
"Kennesaw State","Kennesaw State","Owls","ASUN Conference"
"Kent State","Kent State","Golden Flashes","Mid-American Conference"
"La Salle","La Salle","Explorers","Atlantic 10 Conference"
"Lafayette","Lafayette","Leopards","Patriot League"
"Lamar","Lamar","Cardinals","Southland Conference"
"Lehigh","Lehigh","Mountain Hawks","Patriot League"
"Liberty University","Liberty","Flames","Conference USA"
"Lindenwood","Lindenwood","Lions","Ohio Valley Conference"
"Lipscomb","Lipscomb","Bisons","ASUN Conference"
"Little Rock","Little Rock","Trojans","Ohio Valley Conference"
"LIU","LIU","Sharks","Northeast Conference"
"Long Beach State","LBSU","Beach","Big West Conference"
"Longwood","Longwood","Lancers","Big South Conference"
"Louisiana","Louisiana","Ragin Cajuns","Sun Belt Conference"
"Louisiana State University","LSU","Tigers","Southeastern Conference"
"Louisiana Tech University","La Tech","Bulldogs","Conference USA"
"Loyola Chicago","Loyola Chicago","Ramblers","Atlantic 10 Conference"
"Loyola Maryland","Loyola","Greyhounds","Patriot League"
"Loyola Marymount","LMU","Lions","West Coast Conference"
"Maine","Maine","Black Bears","America East Conference"
"Manhattan","Manhattan","Jaspers","Metro Atlantic Athletic Conference"
"Marist","Marist","Red Foxes","Metro Atlantic Athletic Conference"
"Marquette University","Marquette","Golden Eagles","Big East Conference"
"Marshall","Marshall","Thundering Herd","Sun Belt Conference"
"Maryland Eastern Shore","UMES","Hawks","Mid-Eastern Athletic Conference"
"Massachusetts","UMass","Minutemen","Atlantic 10 Conference"
"McNeese State","McNeese","Cowboys","Southland Conference"
"Mercer","Mercer","Bears","Southern Conference"
"Merrimack","Merrimack","Warriors","Northeast Conference"
"Miami","Miami (OH)","RedHawks","Mid-American Conference"
"Michigan","Michigan","Wolverines","Big Ten Conference"
"Michigan State","Michigan St","Spartans","Big Ten Conference"
"Middle Tennessee State University","Middle Tennessee","Blue Raiders","Conference USA"
"Milwaukee","Milwaukee","Panthers","Horizon League"
"Minnesota","Minnesota","Golden Gophers","Big Ten Conference"
"Mississippi State University","Miss St","Bulldogs","Southeastern Conference"
"Mississippi Valley State","MVSU","Delta Devils","Southwestern Athletic Conference"
"Missouri State","Missouri State","Bears","Missouri Valley Conference"
"Monmouth","Monmouth","Hawks","Coastal Athletic Association"
"Montana","Montana","Grizzlies","Big Sky Conference"
"Montana State","Montana State","Bobcats","Big Sky Conference"
"Morehead State","Morehead State","Eagles","Ohio Valley Conference"
"Morgan State","Morgan State","Bears","Mid-Eastern Athletic Conference"
"Mount St. Mary's","Mt. St. Marys","Mountaineers","Metro Atlantic Athletic Conference"
"Murray State","Murray State","Racers","Missouri Valley Conference"
"Navy","Navy","Midshipmen","Patriot League"
"Navy","Navy","Midshipmen","American Athletic Conference"
"Nebraska","Nebraska","Cornhuskers","Big Ten Conference"
"Nevada","Nevada","Wolf Pack","Mountain West Conference"
"New Hampshire","UNH","Wildcats","America East Conference"
"New Mexico","New Mexico","Lobos","Mountain West Conference"
"New Mexico State University","NMSU","Aggies","Conference USA"
"New Orleans","UNO","Privateers","Southland Conference"
"Niagara","Niagara","Purple Eagles","Metro Atlantic Athletic Conference"
"Nicholls State","Nicholls","Colonels","Southland Conference"
"NJIT","NJIT","Highlanders","America East Conference"
"Norfolk State","Norfolk State","Spartans","Mid-Eastern Athletic Conference"
"North Alabama","UNA","Lions","ASUN Conference"
"North Carolina A&T","NC A&T","Aggies","Coastal Athletic Association"
"North Carolina Central","NCCU","Eagles","Mid-Eastern Athletic Conference"
"North Carolina State University","NC State","Wolfpack","Atlantic Coast Conference"
"North Dakota","North Dakota","Fighting Hawks","Summit League"
"North Dakota State","NDSU","Bison","Summit League"
"Northern Arizona","NAU","Lumberjacks","Big Sky Conference"
"Northern Colorado","Northern Colorado","Bears","Big Sky Conference"
"Northern Illinois","NIU","Huskies","Mid-American Conference"
"Northern Iowa","UNI","Panthers","Missouri Valley Conference"
"Northern Kentucky","NKU","Norse","Horizon League"
"Northwestern","Northwestern","Wildcats","Big Ten Conference"
"Northwestern State","Northwestern State","Demons","Southland Conference"
"Oakland","Oakland","Golden Grizzlies","Horizon League"
"Ohio","Ohio","Bobcats","Mid-American Conference"
"Ohio State","Ohio State","Buckeyes","Big Ten Conference"
"Oklahoma State University","Oklahoma State","Cowboys","Big 12 Conference"
"Old Dominion","ODU","Monarchs","Sun Belt Conference"
"Omaha","Omaha","Mavericks","Summit League"
"Oral Roberts","ORU","Golden Eagles","Summit League"
"Oregon State University","Oregon State","Beavers","Pac-12 Conference"
"Penn State","Penn State","Nittany Lions","Big Ten Conference"
"Pepperdine","Pepperdine","Waves","West Coast Conference"
"Portland","Portland","Pilots","West Coast Conference"
"Portland State","Portland State","Vikings","Big Sky Conference"
"Prairie View A&M","Prairie View","Panthers","Southwestern Athletic Conference"
"Presbyterian","Presbyterian","Blue Hose","Big South Conference"
"Princeton","Princeton","Tigers","Ivy League"
"Providence College","Providence","Friars","Big East Conference"
"Purdue","Purdue","Boilermakers","Big Ten Conference"
"Purdue Fort Wayne","PFW","Mastodons","Horizon League"
"Queens (NC)","Queens","Royals","ASUN Conference"
"Quinnipiac","Quinnipiac","Bobcats","Metro Atlantic Athletic Conference"
"Radford","Radford","Highlanders","Big South Conference"
"Rhode Island","URI","Rams","Atlantic 10 Conference"
"Rice University","Rice","Owls","American Athletic Conference"
"Richmond","Richmond","Spiders","Atlantic 10 Conference"
"Rider","Rider","Broncs","Metro Atlantic Athletic Conference"
"Robert Morris","RMU","Colonials","Horizon League"
"Rutgers","Rutgers","Scarlet Knights","Big Ten Conference"
"Sacramento State","Sacramento State","Hornets","Big Sky Conference"
"Sacred Heart","SHU","Pioneers","Northeast Conference"
"Saint Francis","Saint Francis (PA)","Red Flash","Northeast Conference"
"Saint Joseph's","Saint Joseph's","Hawks","Atlantic 10 Conference"
"Saint Louis","SLU","Billikens","Atlantic 10 Conference"
"Saint Mary's College of California","Saint Mary's","Gaels","West Coast Conference"
"Saint Peter's","Saint Peters","Peacocks","Metro Atlantic Athletic Conference"
"Sam Houston State University","Sam Houston","Bearkats","Conference USA"
"Samford","Samford","Bulldogs","Southern Conference"
"San Diego State","San Diego State","Aztecs","Mountain West Conference"
"San José State","San José State","Spartans","Mountain West Conference"
"Santa Clara","Santa Clara","Broncos","West Coast Conference"
"Seattle","Seattle U","Redhawks","Western Athletic Conference"
"Seton Hall University","Seton Hall","Pirates","Big East Conference"
"Siena","Siena","Saints","Metro Atlantic Athletic Conference"
"South Alabama","South Alabama","Jaguars","Sun Belt Conference"
"South Carolina State","SC State","Bulldogs","Mid-Eastern Athletic Conference"
"South Dakota","South Dakota","Coyotes","Summit League"
"South Dakota State","SDSU","Jackrabbits","Summit League"
"Southeast Missouri State","SEMO","Redhawks","Ohio Valley Conference"
"Southeastern Louisiana","SLU","Lions","Southland Conference"
"Southern","Southern","Jaguars","Southwestern Athletic Conference"
"Southern Illinois","SIU","Salukis","Missouri Valley Conference"
"Southern Illinois University Edwardsville","SIUE","Cougars","Ohio Valley Conference"
"Southern Indiana","USI","Screaming Eagles","Ohio Valley Conference"
"Southern Methodist University","SMU","Mustangs","Atlantic Coast Conference"
"Southern Miss","Southern Miss","Golden Eagles","Sun Belt Conference"
"St. Bonaventure University","Bonaventure","Bonnies","West Coast Conference"
"St. John's University","St. John's","Red Storm","Big East Conference"
"St. Thomas (Minnesota)","St. Thomas","Tommies","Summit League"
"Stanford University","Stanford","Cardinal","Atlantic Coast Conference"
"Stephen F. Austin","SFA","Lumberjacks","Western Athletic Conference"
"Stetson","Stetson","Hatters","ASUN Conference"
"Stonehill","Stonehill","Skyhawks","Northeast Conference"
"Stony Brook","Stony Brook","Seawolves","Coastal Athletic Association"
"Syracuse University","Cuse","Orange","Atlantic Coast Conference"
"Tarleton","Tarleton","Texans","Western Athletic Conference"
"Temple University","Temple","Owls","American Athletic Conference"
"Tennessee State","Tennessee State","Tigers","Ohio Valley Conference"
"Tennessee Tech","Tennessee Tech","Golden Eagles","Ohio Valley Conference"
"Texas A&M University","A&M","Aggies","Southeastern Conference"
"Texas A&M-Commerce","Texas A&M Commerce","Lions","Southland Conference"
"Texas A&M-Corpus Christi","Texas A&M Corpus Christi","Islanders","Southland Conference"
"Texas Christian University","TCU","Horned Frogs","Big 12 Conference"
"Texas Southern","Texas Southern","Tigers","Southwestern Athletic Conference"
"Texas State","Texas State","Bobcats","Sun Belt Conference"
"Texas Tech University","Texas Tech","Red Raiders","Big 12 Conference"
"Toledo","Toledo","Rockets","Mid-American Conference"
"Towson","Towson","Tigers","Coastal Athletic Association"
"Troy","Troy","Trojans","Sun Belt Conference"
"Tulane University","Tulane","Green Wave","American Athletic Conference"
"UC Davis","UC Davis","Aggies","Big West Conference"
"UC Irvine","UCI","Anteaters","Big West Conference"
"UC Riverside","UCR","Highlanders","Big West Conference"
"UC San Diego","UC San Diego","Tritons","Big West Conference"
